,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE
3511,T Nagar,1631,2007-10-21,35,1,1,4,Normal Sale,1,1967-10-31,Commercial,AllPub,Gravel,RH,19090950
3512,Velachery,1576,2005-07-16,169,2,1,4,Family,1,1981-07-22,Others,NoSewr,NoAccess,A,7740130
3513,Chrompet,1148,2013-02-23,82,1,1,3,AbNormal,1,1985-02-03,Others,ELO,Gravel,RM,11074760
3514,Anna Nagar,1792,2010-05-02,62,1,1,4,Normal Sale,1,2003-07-02,Commercial,ELO,Paved,RL,20823790
3515,T Nagar,1808,2014-08-02,154,2,1,5,Family,0,1997-12-02,House,NoSewr,Gravel,RL,12893440
3516,T Nagar,1877,2013-02-13,131,2,1,5,AbNormal,0,2001-02-16,House,AllPub,Gravel,RL,13575290
3517,Velachery,1760,2009-09-11,108,2,1,4,AdjLand,1,2004-10-11,Others,NoSeWa,Paved,RM,12544800
3518,Chrompet,966,2011-10-30,163,1,1,3,Partial,0,1975-08-11,Commercial,NoSewr,Paved,RH,10458600
3519,Karapakkam,979,2011-12-17,85,1,1,3,AdjLand,1,1971-12-27,Others,NoSeWa,Gravel,RH,7737625
3520,Chrompet,1044,2008-10-19,166,1,1,3,Family,0,2000-10-21,House,AllPub,Paved,RL,8595800
3521,Adyar,1180,2009-10-25,69,1,1,3,Family,0,1993-10-29,Commercial,AllPub,Paved,RL,14166140
3522,Chrompet,1095,2013-02-10,79,1,1,3,Partial,1,1979-11-10,Others,NoSewr,Gravel,RL,10209650
3523,Chrompet,1202,2007-05-21,149,2,1,4,AdjLand,0,2003-05-22,Others,AllPub,NoAccess,RM,10428940
3524,Adyar,691,2009-04-03,77,1,1,2,Normal Sale,1,1982-11-03,Commercial,ELO,Gravel,I,9987005
3525,Karapakkam,1313,2010-02-09,35,1,1,3,AbNormal,0,1986-08-09,Commercial,ELO,NoAccess,RM,10554000
3526,Adyar,625,2007-09-13,168,1,1,2,AdjLand,0,1967-09-23,Commercial,ELO,Paved,RH,8739100
3527,KK Nagar,1933,2008-07-15,186,3,2,5,Partial,0,1986-07-21,Commercial,NoSeWa,Gravel,RL,15479240
3528,Karapakkam,681,2009-10-28,198,1,1,2,Family,1,1966-08-11,House,AllPub,NoAccess,RM,6434750
3529,Karapakkam,636,2011-06-26,35,1,1,2,AbNormal,0,1984-02-07,Others,AllPub,NoAccess,RH,4706750
3530,Anna Nagar,1718,2014-07-07,100,1,1,4,AdjLand,1,2000-10-07,House,ELO,Gravel,RM,14419380
3531,Karapakkam,1086,2010-08-15,134,1,1,3,Normal Sale,1,1965-08-26,House,NoSewr,NoAccess,RL,6898750
3532,Chrompet,845,2014-04-21,65,1,1,3,Partial,0,2004-04-23,Commercial,NoSewr,NoAccess,RL,10081500
3533,Anna Nagar,1774,2008-03-12,158,1,1,4,Family,1,1978-11-12,Others,NoSewr,NoAccess,RM,14046370
3534,Anna Nagar,1730,2010-09-02,129,1,1,4,Partial,0,1976-02-18,House,AllPub,Gravel,RL,12120330
3535,Chrompet,1180,2007-10-26,18,1,1,3,AdjLand,0,1972-03-11,House,NoSewr,Paved,RL,8937450
3536,Velachery,1607,2006-08-15,177,2,1,4,Normal Sale,0,1982-08-21,Commercial,ELO,Paved,RL,13758930
3537,Adyar,1182,2011-07-30,193,1,1,3,Partial,0,2006-07-31,Commercial,NoSeWa,NoAccess,RL,13205875
3538,T Nagar,1539,2008-12-17,100,1,1,4,Family,0,1976-12-25,Commercial,NoSeWa,Gravel,RH,17061540
3539,Karapakkam,1636,2011-05-10,5,2,2,4,Partial,0,1976-10-13,Others,AllPub,NoAccess,A,5624750
3540,Karapakkam,1088,2011-11-17,178,1,1,3,Family,0,1979-11-25,Others,NoSeWa,Paved,RH,6368000
3541,Karapakkam,1229,2010-06-06,78,1,1,3,Partial,1,1990-11-06,House,AllPub,Gravel,RH,8019500
3542,Adyar,848,2006-01-12,125,1,1,3,AbNormal,0,1986-06-12,Others,NoSewr,Gravel,A,6618400
3543,Chrompet,1209,2007-04-06,148,2,1,4,Family,1,2002-05-06,Commercial,AllPub,Gravel,RH,14878750
3544,KK Nagar,2041,2008-10-05,85,3,2,5,Normal Sale,0,1989-05-15,House,NoSeWa,Paved,RH,9625180
3545,Adyar,618,2009-12-25,22,1,1,2,AbNormal,0,1996-12-28,Others,NoSewr,Gravel,A,5546495
3546,Anna Nagar,1750,2010-07-18,124,1,1,4,Family,0,1976-07-26,House,NoSeWa,Gravel,RL,11997230
3547,Anna Nagar,1816,2007-06-05,131,2,1,5,Partial,0,1989-10-05,Others,ELO,NoAccess,RM,13275240
3548,Karapakkam,793,2010-03-03,153,1,1,2,Family,0,1989-08-03,Others,NoSeWa,NoAccess,I,4398625
3549,Velachery,1737,2006-02-07,109,2,1,4,Family,0,1972-10-07,Commercial,AllPub,Gravel,C,13296730
3550,Adyar,658,2009-10-30,155,1,1,2,AdjLand,0,1991-04-11,House,AllPub,NoAccess,A,4479770
3551,Adyar,1219,2009-07-30,189,2,2,4,AdjLand,0,1997-02-08,Others,ELO,Paved,RM,11155480
3552,Karapakkam,1272,2010-12-15,181,1,1,3,Normal Sale,0,1973-12-24,Commercial,AllPub,Gravel,RH,10279750
3553,Chrompet,919,2010-02-01,72,1,1,3,Family,1,1987-08-01,House,ELO,Gravel,RL,8984050
3554,Anna Nagar,1741,2013-09-04,46,1,1,4,Family,0,1977-04-18,Others,AllPub,NoAccess,RL,12133700
3555,Anna Nagar,1984,2012-07-06,160,2,1,5,AdjLand,0,1986-06-14,Others,ELO,Paved,RM,15185240
3556,KK Nagar,2202,2008-11-20,104,3,2,5,Family,1,1994-11-24,Commercial,AllPub,Paved,RM,18670480
3557,Adyar,630,2012-11-03,52,1,1,2,AdjLand,1,1993-03-16,Others,NoSewr,Gravel,C,7385285
3558,KK Nagar,1344,2008-08-28,89,2,1,4,AbNormal,0,2000-08-30,Commercial,AllPub,Paved,RM,13112560
3559,Karapakkam,915,2010-07-25,25,1,1,3,Partial,0,1967-05-08,Commercial,AllPub,NoAccess,C,5858250
3560,Velachery,1884,2008-12-23,142,3,2,5,Family,0,1958-05-01,House,NoSeWa,NoAccess,C,6860970
3561,T Nagar,1989,2009-01-20,46,2,1,5,Family,0,1972-01-30,House,ELO,Paved,RL,12677940
3562,Adyar,730,2010-03-21,87,1,1,2,Partial,1,1989-03-26,House,NoSeWa,Gravel,RH,7779515
3563,Chrompet,1081,2014-10-19,172,1,1,3,Partial,1,1981-10-27,House,ELO,Paved,RL,8721550
3564,Chrompet,1198,2008-07-05,73,1,1,3,Normal Sale,1,1993-11-05,Commercial,ELO,Paved,RH,13776050
3565,Chrompet,927,2013-06-21,40,1,1,3,AbNormal,0,1998-06-25,House,AllPub,NoAccess,RM,8134850
3566,Velachery,1611,2007-05-26,115,2,1,4,Partial,0,1983-01-06,House,NoSewr,Gravel,RL,9281280
3567,Adyar,655,2007-12-29,22,1,1,2,AdjLand,1,2000-12-30,Commercial,AllPub,Paved,RL,11399205
3568,Velachery,1634,2007-09-20,111,2,1,4,AdjLand,1,1988-09-24,Commercial,NoSewr,Gravel,I,14906280
3569,KK Nagar,1762,2011-02-28,28,2,1,4,Partial,0,1983-07-03,Commercial,NoSewr,Paved,RM,14646760
3570,KK Nagar,2049,2009-06-08,7,3,2,5,Normal Sale,0,1998-09-08,House,AllPub,Paved,RH,10019420
3571,Velachery,1711,2011-02-09,148,2,1,4,AbNormal,0,1985-08-09,Commercial,AllPub,Gravel,RH,14547070
3572,KK Nagar,1807,2010-11-06,53,3,2,5,Partial,1,1987-06-17,Commercial,NoSeWa,Paved,RM,15929660
3573,Karapakkam,591,2010-06-02,106,1,1,2,AbNormal,1,1979-02-14,Commercial,NoSeWa,NoAccess,RL,7142250
3574,T Nagar,1827,2008-06-29,98,2,1,5,Partial,1,1995-03-07,Commercial,AllPub,NoAccess,RL,20555760
3575,Adyar,789,2010-07-30,197,1,1,2,AdjLand,1,1985-05-08,Commercial,ELO,NoAccess,RH,10584775
3576,Adyar,1299,2010-04-15,20,2,2,4,Normal Sale,0,1970-04-25,Commercial,ELO,Gravel,RM,15815700
3577,Adyar,786,2006-12-16,197,1,1,2,Family,0,1975-12-24,Others,ELO,Gravel,RH,7414265
3578,Velachery,1726,2010-12-06,89,2,1,4,AbNormal,1,1968-06-22,House,ELO,Paved,A,7662340
3579,T Nagar,1790,2008-10-17,82,1,1,4,AbNormal,1,1987-10-23,Others,NoSeWa,Paved,RL,14241820
3580,Adyar,691,2009-09-02,182,1,1,2,AbNormal,0,1983-02-16,House,ELO,NoAccess,I,5125790
3581,KK Nagar,1405,2010-05-17,75,2,1,4,Family,1,1999-05-20,Others,NoSewr,Paved,RL,10084320
3582,Adyar,1009,2012-06-05,164,1,1,3,Normal Sale,1,2001-09-05,Commercial,NoSeWa,Paved,RH,13215865
3583,Anna Nagar,1525,2014-09-13,114,1,1,4,Family,1,1983-09-21,Commercial,AllPub,Gravel,RM,19571820
3584,Velachery,1847,2009-03-11,186,3,2,5,Partial,1,1996-06-11,House,NoSeWa,Gravel,RL,11256610
3585,Chrompet,1250,2013-05-04,47,2,1,4,AbNormal,1,1996-09-04,Commercial,NoSeWa,Paved,RM,15556750
3586,Karapakkam,804,2010-04-07,179,1,1,2,Normal Sale,1,2003-06-07,Others,NoSewr,NoAccess,I,5903750
3587,KK Nagar,2117,2009-12-31,133,3,2,5,AbNormal,1,1992-05-01,Others,NoSewr,Paved,RL,12416100
3588,KK Nagar,2018,2011-06-16,145,3,2,5,Normal Sale,1,1990-06-21,Others,NoSeWa,Gravel,RL,12554380
3589,Chrompet,942,2008-06-14,74,1,1,3,Normal Sale,0,1982-06-21,Others,ELO,Paved,RH,7567040
3590,Adyar,777,2011-11-08,196,1,1,2,Partial,1,1986-08-17,Others,NoSeWa,NoAccess,RM,8517175
3591,T Nagar,1695,2006-12-20,194,1,1,4,AdjLand,1,1984-12-25,House,NoSewr,Gravel,RH,13209090
3592,Adyar,902,2011-02-28,175,1,1,3,AbNormal,0,2006-01-03,Commercial,NoSeWa,Gravel,C,10556375
3593,Velachery,1904,2009-08-06,89,3,2,5,AbNormal,0,1985-06-14,Others,ELO,Paved,A,8504780
3594,Anna Nagar,1536,2012-02-07,19,1,1,4,Family,0,1969-07-13,Others,NoSeWa,NoAccess,RH,10245090
3595,Karapakkam,827,2011-05-10,39,1,1,2,AdjLand,1,1994-09-10,Others,NoSeWa,Gravel,RL,8307375
3596,Velachery,1553,2006-11-02,158,2,1,4,AbNormal,0,1952-02-25,House,NoSewr,Gravel,A,6524930
3597,Chrompet,768,2010-11-27,46,1,1,2,AdjLand,1,1991-02-12,House,NoSeWa,NoAccess,RH,7171850
3598,Chrompet,1245,2009-07-13,26,2,1,4,Family,0,2001-07-15,Commercial,AllPub,Paved,RM,14686600
3599,Velachery,1662,2004-11-19,55,2,1,4,AbNormal,1,1974-11-27,Others,ELO,Paved,A,8427850
3600,KK Nagar,1958,2009-04-12,94,3,2,5,AbNormal,0,1988-09-12,House,AllPub,Gravel,RL,10676820
3601,KK Nagar,2281,2010-06-26,124,4,2,6,AbNormal,1,1997-06-29,Commercial,NoSewr,Gravel,RL,19171860
3602,Velachery,1908,2009-12-29,73,3,2,5,AbNormal,1,1974-07-01,House,NoSeWa,NoAccess,C,8466820
3603,Adyar,916,2011-08-08,50,1,1,3,AbNormal,1,1977-08-16,Others,ELO,NoAccess,RM,9379310
3604,Chrompet,1101,2013-10-26,24,1,1,3,Family,1,2004-10-28,House,NoSewr,NoAccess,RH,8410150
3605,Anna Nagar,1518,2014-06-24,142,1,1,4,AdjLand,1,1981-02-07,Others,ELO,NoAccess,RL,12430300
3606,Adyar,1049,2012-03-14,10,1,1,3,Family,1,1992-03-19,Commercial,ELO,NoAccess,C,11139700
3607,Karapakkam,736,2012-06-03,120,1,1,2,AbNormal,1,1983-03-14,House,AllPub,NoAccess,RL,6304750
3608,Adyar,693,2011-11-01,69,1,1,2,Normal Sale,0,2003-01-13,House,NoSewr,Gravel,RL,8013720
3609,Anna Nagar,1802,2014-10-26,77,2,1,5,Partial,0,2008-10-27,Others,NoSeWa,Paved,RL,13397130
3610,Adyar,888,2012-02-17,44,1,1,3,AbNormal,1,1983-02-24,Commercial,ELO,NoAccess,C,9910835
3611,Chrompet,973,2006-12-28,155,1,1,3,AdjLand,1,1993-12-31,Others,NoSewr,NoAccess,RL,9536960
3612,Karapakkam,663,2011-04-08,41,1,1,2,Partial,1,1991-09-08,Others,NoSewr,NoAccess,C,4408125
3613,Chrompet,700,2011-05-03,51,1,1,2,Family,1,1971-03-15,Others,ELO,Paved,RM,8270600
3614,Adyar,976,2007-08-06,47,1,1,3,Normal Sale,1,1994-11-06,Others,AllPub,NoAccess,RL,9801395
3615,KK Nagar,2283,2010-11-08,56,4,2,6,Family,1,2004-12-08,Others,AllPub,Gravel,RL,13852380
3616,KK Nagar,1301,2011-01-14,64,1,1,3,Family,1,2004-01-16,Commercial,NoSeWa,Paved,RH,12099740
3617,Karapakkam,1261,2012-07-01,112,1,1,3,Partial,0,1993-11-01,Commercial,NoSeWa,Paved,RH,9634250
3618,KK Nagar,2365,2010-06-08,37,4,2,6,Partial,0,1986-12-08,Commercial,NoSeWa,Gravel,RM,18624480
3619,Chrompet,958,2011-11-19,49,1,1,3,Family,0,1999-11-22,Others,ELO,Paved,RM,9008060
3620,Velachery,1587,2007-03-28,21,2,1,4,Partial,1,1984-02-04,House,ELO,Paved,I,8586060
3621,T Nagar,1977,2011-04-01,131,2,1,5,AdjLand,1,1978-12-01,Commercial,ELO,Paved,RH,22000360
3622,Chrompet,1137,2010-12-13,70,1,1,3,AdjLand,0,2005-12-14,Others,NoSewr,Paved,RM,10441640
3623,Chrompet,865,2007-12-17,165,1,1,3,Normal Sale,0,1980-12-23,Others,NoSeWa,Gravel,RH,7775300
3624,Chrompet,1125,2008-06-14,103,1,1,3,Partial,1,1986-06-20,House,NoSeWa,NoAccess,RM,9248500
3625,Karapakkam,1635,2010-11-09,122,2,2,4,AdjLand,0,2005-12-09,Commercial,NoSeWa,NoAccess,C,10620750
3626,KK Nagar,2345,2009-11-03,199,4,2,6,Family,0,1999-03-14,Others,NoSeWa,Gravel,RM,13355100
3627,Chrompet,1072,2014-01-22,83,1,1,3,Normal Sale,1,1989-01-28,House,ELO,Paved,RH,8569350
3628,KK Nagar,2416,2008-10-07,2,4,2,6,Family,1,1986-07-16,Commercial,NoSeWa,Paved,RM,19635040
3629,Velachery,1720,2008-09-18,110,2,1,4,Partial,0,1958-01-10,Others,NoSewr,Paved,I,8420300
3630,Karapakkam,727,2009-09-11,88,1,1,2,Family,1,1996-12-11,Others,ELO,Paved,I,5859875
3631,T Nagar,1970,2011-10-15,193,2,1,5,AdjLand,1,1971-10-25,Others,NoSewr,Gravel,RL,16053550
3632,Velachery,1891,2010-02-24,51,3,2,5,AbNormal,1,1965-07-03,Others,AllPub,Paved,RM,12303400
3633,Karapakkam,1227,2011-08-18,102,1,1,3,Family,1,2005-08-19,House,AllPub,Paved,A,6198000
3634,Chrompet,1253,2007-04-05,135,2,1,4,Family,1,1998-06-05,Others,NoSewr,Paved,RL,11010960
3635,Karapakkam,1278,2012-02-20,199,1,1,3,Normal Sale,0,1991-02-25,Commercial,NoSewr,Gravel,RH,10544750
3636,Adyar,692,2007-06-15,190,1,1,2,Family,0,1999-06-17,Others,AllPub,NoAccess,A,4678720
3637,Chrompet,1186,2012-09-01,200,1,1,3,AdjLand,0,1983-01-16,Commercial,AllPub,Paved,RH,13042550
3638,KK Nagar,1881,2009-11-13,50,3,2,5,AbNormal,1,2001-11-15,Others,AllPub,Paved,RM,12666980
3639,Chrompet,898,2012-12-05,87,1,1,3,Family,1,2006-05-14,Others,ELO,Gravel,RM,10373360
3640,Velachery,1661,2005-04-04,31,2,1,4,AbNormal,1,1976-11-04,House,AllPub,Gravel,A,8514030
3641,KK Nagar,1536,2009-12-01,150,2,1,4,Partial,0,1994-01-16,House,NoSewr,Paved,RL,8720100
3642,Chrompet,726,2010-11-02,155,1,1,2,AdjLand,1,1977-02-19,Others,NoSeWa,NoAccess,RH,7187570
3643,Adyar,961,2007-12-08,132,1,1,3,Partial,1,1989-08-16,Commercial,NoSeWa,Paved,C,10968170
3644,Karapakkam,1356,2011-06-12,100,2,2,4,Normal Sale,1,1968-12-16,House,AllPub,NoAccess,RH,7243250
3645,Chrompet,882,2010-01-29,40,1,1,3,AdjLand,0,2006-01-30,Others,NoSeWa,NoAccess,RM,8665540
3646,Karapakkam,1558,2011-07-09,133,2,2,4,AdjLand,1,1971-09-17,Others,NoSeWa,Paved,C,7898250
3647,Karapakkam,1440,2010-06-05,75,2,2,4,Normal Sale,1,1969-05-16,House,NoSeWa,NoAccess,RL,7859750
3648,Karapakkam,691,2009-11-08,37,1,1,2,AdjLand,1,1989-08-16,Others,NoSeWa,Paved,I,6059625
3649,Adyar,1255,2012-10-02,191,2,2,4,Family,0,2001-12-02,House,ELO,Paved,RM,10084565
3650,Chrompet,1009,2009-12-16,128,1,1,3,AdjLand,1,1985-12-22,Commercial,AllPub,Paved,RL,13362600
3651,Adyar,1065,2008-01-16,81,1,1,3,Family,0,2003-01-17,House,ELO,Gravel,A,6857075
3652,Chrompet,1065,2007-10-23,11,1,1,3,AdjLand,1,1969-01-11,House,NoSeWa,Paved,RM,9955700
3653,Karapakkam,694,2009-12-19,3,1,1,2,Partial,1,1965-12-30,House,NoSewr,NoAccess,C,3807000
3654,Chrompet,1045,2011-01-15,88,1,1,3,AbNormal,0,1993-01-19,House,AllPub,Paved,RM,9020500
3655,Karapakkam,730,2009-09-13,175,1,1,2,Normal Sale,1,1977-09-21,House,NoSewr,NoAccess,RH,5500000
3656,Velachery,1871,2004-12-24,22,3,2,5,Family,0,1955-06-01,Others,AllPub,Paved,C,8616750
3657,Chrompet,994,2007-07-08,56,1,1,3,AdjLand,1,1985-12-08,House,AllPub,Paved,RL,9475900
3658,Anna Nagar,1754,2012-07-25,198,1,1,4,AdjLand,0,1985-01-08,House,ELO,NoAccess,RH,10917740
3659,KK Nagar,2224,2009-11-13,189,4,2,6,Family,1,1980-11-20,House,NoSewr,Gravel,RL,12196780
3660,Karapakkam,836,2010-01-07,66,1,1,2,Normal Sale,0,1988-06-07,Others,NoSewr,NoAccess,A,3577000
3661,Karapakkam,1399,2009-12-28,137,2,2,4,Family,0,1970-07-01,Commercial,AllPub,NoAccess,RM,11019000
3662,Velachery,1950,2006-02-03,126,3,2,5,AbNormal,1,1995-05-03,House,ELO,Gravel,RH,11217570
3663,Anna Nagar,1519,2013-08-07,2,1,1,4,AbNormal,1,1974-07-18,Others,NoSeWa,Gravel,RL,13037450
3664,Anna Nagar,1605,2008-03-23,4,1,1,4,Partial,1,1968-02-04,Others,NoSewr,NoAccess,RL,12149050
3665,Chrompet,1230,2007-12-17,81,2,1,4,AbNormal,0,2000-12-18,Commercial,AllPub,Paved,RL,14109250
3666,Karapakkam,584,2011-05-26,70,1,1,2,Normal Sale,1,1981-02-06,Commercial,AllPub,NoAccess,RL,7439500
3667,Velachery,1590,2009-11-15,57,2,1,4,Normal Sale,0,1955-11-29,Commercial,NoSewr,Paved,RL,13277730
3668,Velachery,1734,2005-01-28,87,2,1,4,Family,0,1995-01-31,Others,NoSeWa,NoAccess,RM,10180900
3669,Chrompet,786,2007-11-13,119,1,1,2,Normal Sale,0,2001-11-14,Commercial,NoSewr,Gravel,RL,10905100
3670,Chrompet,701,2012-12-15,52,1,1,2,Partial,0,1976-12-24,Commercial,AllPub,Paved,RH,8513600
3671,Adyar,783,2007-04-24,149,1,1,2,AdjLand,1,1969-03-05,Others,NoSewr,NoAccess,RL,8538070
3672,Anna Nagar,1739,2013-07-06,128,1,1,4,Partial,0,1998-11-06,Others,NoSeWa,Paved,RL,12739970
3673,Chrompet,1127,2009-04-30,38,1,1,3,AbNormal,0,1977-08-05,House,NoSewr,Gravel,RL,8841600
3674,Chrompet,919,2008-08-31,61,1,1,3,Normal Sale,0,1980-07-09,Commercial,AllPub,NoAccess,RH,10180400
3675,Chrompet,902,2007-10-31,120,1,1,3,AbNormal,0,2003-01-11,Others,NoSewr,Paved,RL,8637740
3676,Adyar,838,2010-09-13,10,1,1,3,AdjLand,1,1973-09-22,Commercial,AllPub,NoAccess,RH,11197455
3677,Chrompet,1026,2014-02-19,174,1,1,3,Normal Sale,0,1993-02-24,Commercial,AllPub,NoAccess,RM,12388350
3678,Karapakkam,1346,2011-10-24,84,2,2,4,Partial,1,1967-04-11,House,NoSewr,Gravel,I,7441000
3679,KK Nagar,1764,2008-03-11,191,2,1,4,AdjLand,0,1985-09-11,Others,NoSeWa,Paved,RM,10950540
3680,Chrompet,825,2012-12-30,9,1,1,3,Partial,1,1998-03-01,Commercial,NoSeWa,Paved,RL,11338250
3681,Velachery,1542,2011-04-21,147,2,1,4,Normal Sale,1,2000-04-23,House,NoSewr,Paved,RM,10737270
3682,KK Nagar,1869,2011-05-13,20,3,2,5,Family,0,1995-05-17,Others,AllPub,Gravel,RL,11190500
3683,Adyar,1291,2007-12-27,0,2,2,4,Family,0,1980-03-01,House,NoSeWa,NoAccess,C,6951120
3684,Karapakkam,950,2009-12-14,7,1,1,3,Normal Sale,1,1964-12-25,Others,NoSeWa,Gravel,A,5628000
3685,Karapakkam,680,2010-06-03,130,1,1,2,Normal Sale,1,1978-03-14,Commercial,ELO,Paved,RL,8208000
3686,Anna Nagar,1579,2012-01-01,188,1,1,4,Family,1,1981-08-01,Others,NoSeWa,Gravel,RH,12812990
3687,Chrompet,1047,2006-10-23,42,1,1,3,AbNormal,1,1969-01-11,Others,NoSewr,NoAccess,RL,9051140
3688,Anna Nagar,1660,2009-04-12,36,1,1,4,Normal Sale,1,1979-12-12,Commercial,ELO,NoAccess,RL,18681200
3689,Chrompet,835,2012-02-04,46,1,1,3,Partial,1,1990-08-04,Others,AllPub,Gravel,RL,9220450
3690,Anna Nagar,1883,2010-11-16,121,2,1,5,AdjLand,0,1995-11-20,House,NoSewr,NoAccess,RM,13316650
3691,Adyar,1109,2011-01-31,5,1,1,3,Family,1,1975-09-02,House,ELO,Paved,RM,10039740
3692,Adyar,995,2011-01-23,26,1,1,3,AbNormal,1,1977-01-31,Others,AllPub,NoAccess,I,8055010
3693,Velachery,1747,2012-01-31,142,2,1,4,AdjLand,1,1979-08-02,Others,NoSewr,Paved,RM,12038110
3694,Anna Nagar,1529,2007-07-24,191,1,1,4,AbNormal,1,1972-01-08,House,AllPub,Gravel,RH,11985700
3695,Karapakkam,1034,2009-12-07,30,1,1,3,Family,1,1972-07-21,Others,NoSeWa,Paved,RM,8345500
3696,KK Nagar,1302,2010-04-19,84,1,1,3,Partial,0,1984-04-25,Commercial,NoSewr,Paved,RL,11286720
3697,Karapakkam,654,2010-10-21,143,1,1,2,AbNormal,1,2004-10-22,Commercial,NoSeWa,Paved,C,6754500
3698,Chrompet,1020,2008-12-24,41,1,1,3,AdjLand,1,1982-12-31,Commercial,AllPub,Gravel,RH,13245700
3699,Karapakkam,506,2010-06-23,145,1,1,2,AbNormal,0,1983-06-30,Commercial,NoSewr,NoAccess,RM,6519250
3700,T Nagar,1955,2014-01-05,10,2,1,5,Partial,1,1971-12-05,House,AllPub,Gravel,RL,13986310
3701,Karapakkam,1653,2009-01-08,160,2,2,4,Partial,0,1984-07-08,Commercial,NoSeWa,Paved,RL,12268750
3702,Velachery,1820,2009-04-15,77,3,2,5,Partial,1,1977-04-23,House,NoSewr,Paved,RM,11050340
3703,Velachery,1508,2005-05-10,63,2,1,4,Family,1,1996-07-10,Commercial,NoSeWa,NoAccess,C,12035430
3704,Karapakkam,1292,2010-05-24,111,1,1,3,AbNormal,0,1993-05-28,Commercial,AllPub,Paved,C,8974750
3705,Anna Nagar,1922,2009-06-01,160,2,1,5,Normal Sale,0,1985-12-01,Commercial,ELO,Gravel,RL,21208080
3706,Karapakkam,584,2011-09-29,165,1,1,2,AdjLand,0,2000-01-10,Others,NoSewr,NoAccess,C,3928250
3707,Anna Nagar,1839,2013-11-01,153,2,1,5,AdjLand,1,1999-01-15,House,NoSewr,Gravel,RH,13903480
3708,Velachery,1879,2005-03-20,166,3,2,5,Normal Sale,0,1973-03-28,House,AllPub,NoAccess,RM,9900740
3709,Karapakkam,1199,2011-04-05,70,1,1,3,Family,0,1979-12-05,Others,NoSewr,NoAccess,RM,7329125
3710,Chrompet,1181,2009-09-19,102,1,1,3,Normal Sale,1,1998-09-22,House,NoSewr,Gravel,RM,11060050
3711,Chrompet,1068,2015-11-02,86,1,1,3,Normal Sale,0,2003-02-14,Others,NoSeWa,NoAccess,RM,9087160
3712,Velachery,1686,2010-01-04,92,2,1,4,AbNormal,1,1984-07-04,Others,NoSeWa,Gravel,RM,12026070
3713,KK Nagar,2242,2009-09-16,84,4,2,6,AdjLand,1,1998-09-19,Others,AllPub,Gravel,RH,13547460
3714,Chrompet,1259,2009-12-28,112,2,1,4,AbNormal,0,1993-01-01,House,ELO,Gravel,RL,9574950
3715,T Nagar,1843,2008-11-10,118,2,1,5,AdjLand,1,1979-10-19,Others,ELO,NoAccess,RH,13613320
3716,T Nagar,1924,2008-02-21,59,2,1,5,Family,1,1989-02-25,Others,NoSewr,Paved,RH,14480950
3717,Chrompet,1144,2010-03-02,73,1,1,3,Normal Sale,0,1979-11-02,Commercial,ELO,Gravel,RH,12649650
3718,Karapakkam,542,2010-08-25,127,1,1,2,Normal Sale,1,1984-08-31,Commercial,NoSewr,Paved,RL,7689500
3719,Anna Nagar,1515,2011-04-18,103,1,1,4,Normal Sale,0,1972-04-27,House,AllPub,NoAccess,RM,10864880
3720,Adyar,630,2011-07-08,174,1,1,2,Partial,0,1995-11-08,Commercial,ELO,Gravel,RL,9683840
3721,Velachery,1671,2004-05-08,182,2,1,4,Normal Sale,0,1986-10-08,House,AllPub,Gravel,RM,10676510
3722,Karapakkam,1047,2010-04-22,18,1,1,3,Family,0,1992-04-26,House,NoSeWa,Gravel,I,6066000
3723,Anna Nagar,1595,2013-05-30,87,1,1,4,Family,1,1983-07-06,Commercial,NoSeWa,NoAccess,RH,17471500
3724,Adyar,1299,2008-07-23,62,2,2,4,Normal Sale,0,1997-07-26,Others,ELO,NoAccess,C,8087365
3725,Anna Nagar,1626,2008-05-06,27,1,1,4,Family,1,1970-06-15,Others,ELO,Gravel,RH,12837890
3726,Karapakkam,801,2010-02-20,80,1,1,2,AbNormal,0,1993-02-24,House,AllPub,Gravel,C,5038250
3727,Chrompet,1089,2009-06-25,6,1,1,3,Partial,1,2005-06-26,Commercial,NoSewr,Paved,RH,13099400
3728,Anna Nagar,1955,2012-06-17,54,2,1,5,Family,0,2001-06-20,House,ELO,NoAccess,RH,11575870
3729,KK Nagar,1708,2010-11-28,91,2,1,4,AbNormal,0,1993-02-12,Commercial,NoSewr,Paved,RH,13502140
3730,T Nagar,1697,2006-11-13,19,1,1,4,Normal Sale,1,1996-11-15,Others,NoSeWa,Paved,RL,14121610
3731,T Nagar,1975,2007-03-22,8,2,1,5,AbNormal,0,1995-03-25,House,NoSeWa,Paved,RH,12643190
3732,Velachery,1966,2008-12-11,168,3,2,5,Family,1,1959-11-25,House,AllPub,Paved,RM,11333130
3733,Anna Nagar,1791,2009-11-16,164,1,1,4,AdjLand,0,1994-11-20,Others,AllPub,Paved,RL,14020280
3734,Velachery,1890,2006-01-11,66,3,2,5,Family,1,1999-03-11,Commercial,NoSewr,Paved,I,15850840
3735,Karapakkam,967,2010-01-19,152,1,1,3,AbNormal,0,1981-01-26,House,ELO,Paved,A,3891250
